OFFICIAL ELECTION RESULTS
Bucks
Contest Name,Candidate Name,Party,Absentee and Mail-In Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported
"Lower Makefield Twp South 6 Committeeman (Rep)","Mark Westphal","Rep","13","30","0","43","1","1"
"Lower Makefield Twp South 6 Committeeman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Lower Makefield Twp South 6 Committeewoman (Rep)","Hope Westphal","Rep","13","29","0","42","1","1"
"Lower Makefield Twp South 6 Committeewoman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Lower Makefield Twp South 7 Committeeman (Rep)","Casey Lawrence","Rep","40","116","0","156","1","1"
"Lower Makefield Twp South 7 Committeeman (Rep)","Write-in","Rep","0","4","0","4","1","1"
"Lower Makefield Twp South 7 Committeewoman (Rep)","Sharon Schiavo","Rep","40","118","0","158","1","1"
"Lower Makefield Twp South 7 Committeewoman (Rep)","Write-in","Rep","0","3","0","3","1","1"
"Lower Makefield Twp South 8 Committeeman (Rep)","Eric J. Miller","Rep","24","81","0","105","1","1"
"Lower Makefield Twp South 8 Committeeman (Rep)","Write-in","Rep","0","4","0","4","1","1"
"Lower Makefield Twp South 8 Committeewoman (Rep)","Brittany R. Miller","Rep","24","80","0","104","1","1"
"Lower Makefield Twp South 8 Committeewoman (Rep)","Write-in","Rep","0","4","0","4","1","1"
"Lower Makefield Twp South 9 Committeeman (Rep)","Barry W. Summers","Rep","79","102","0","181","1","1"
"Lower Makefield Twp South 9 Committeeman (Rep)","Write-in","Rep","0","30","0","30","1","1"
"Lower Makefield Twp South 9 Committeewoman (Rep)","Lorri D. Summers","Rep","78","100","0","178","1","1"
"Lower Makefield Twp South 9 Committeewoman (Rep)","Write-in","Rep","0","39","0","39","1","1"
"Lower Southampton Twp East 1 Committeeman (Rep)","Charles J. Wogan","Rep","10","88","1","99","1","1"
"Lower Southampton Twp East 1 Committeeman (Rep)","David A. DiBelius","Rep","18","87","0","105","1","1"
"Lower Southampton Twp East 1 Committeeman (Rep)","Write-in","Rep","1","1","0","2","1","1"
"Lower Southampton Twp East 1 Committeewoman (Rep)","Write-in","Rep","0","10","0","10","1","1"
"Lower Southampton Twp East 2 Committeeman (Rep)","Keith Jenkinson","Rep","20","130","0","150","1","1"
"Lower Southampton Twp East 2 Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Lower Southampton Twp East 2 Committeewoman (Rep)","Erin Brosious","Rep","20","129","0","149","1","1"
"Lower Southampton Twp East 2 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Lower Southampton Twp East 3 Committeeman (Rep)","Thomas Ehresmann","Rep","38","179","0","217","1","1"
"Lower Southampton Twp East 3 Committeeman (Rep)","Write-in","Rep","1","2","0","3","1","1"
"Lower Southampton Twp East 3 Committeewoman (Rep)","Jennifer L. Ehresmann","Rep","14","115","0","129","1","1"
"Lower Southampton Twp East 3 Committeewoman (Rep)","Sharon Clancy","Rep","22","88","0","110","1","1"
"Lower Southampton Twp East 3 Committeewoman (Rep)","Write-in","Rep","1","0","0","1","1","1"
"Lower Southampton Twp East 4 Committeeman (Rep)","Nicholas Owarzani","Rep","18","178","2","198","1","1"
"Lower Southampton Twp East 4 Committeeman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Lower Southampton Twp East 4 Committeewoman (Rep)","Tina Hollenbach","Rep","19","170","2","191","1","1"
"Lower Southampton Twp East 4 Committeewoman (Rep)","Write-in","Rep","0","6","0","6","1","1"
"Lower Southampton Twp East 5 Committeeman (Rep)","Stephen Castle","Rep","17","193","0","210","1","1"
"Lower Southampton Twp East 5 Committeeman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Lower Southampton Twp East 5 Committeewoman (Rep)","Kelly Riccobene","Rep","17","190","0","207","1","1"
"Lower Southampton Twp East 5 Committeewoman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Lower Southampton Twp West 1 Committeeman (Rep)","Write-in","Rep","2","8","0","10","1","1"
"Lower Southampton Twp West 1 Committeewoman (Rep)","Natalie Szapowalo","Rep","13","67","0","80","1","1"
"Lower Southampton Twp West 1 Committeewoman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Lower Southampton Twp West 2 Committeeman (Rep)","Stephen Pirritano","Rep","15","120","0","135","1","1"
"Lower Southampton Twp West 2 Committeeman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Lower Southampton Twp West 2 Committeewoman (Rep)","Linda Gallagher","Rep","13","121","0","134","1","1"
"Lower Southampton Twp West 2 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Lower Southampton Twp West 3 Committeeman (Rep)","Roy Hendricks","Rep","20","111","0","131","1","1"
"Lower Southampton Twp West 3 Committeeman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Lower Southampton Twp West 3 Committeewoman (Rep)","Carol Dubas","Rep","19","114","0","133","1","1"
"Lower Southampton Twp West 3 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Lower Southampton Twp West 4 Committeeman (Rep)","Kim Koutsouradis","Rep","10","89","0","99","1","1"
"Lower Southampton Twp West 4 Committeeman (Rep)","Write-in","Rep","0","11","0","11","1","1"
"Lower Southampton Twp West 4 Committeewoman (Rep)","Suzanna Aloian","Rep","4","42","0","46","1","1"
"Lower Southampton Twp West 4 Committeewoman (Rep)","Sally Schlotter","Rep","6","71","0","77","1","1"
"Lower Southampton Twp West 4 Committeewoman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Lower Southampton Twp West 5 Committeeman (Rep)","Bob Nieves","Rep","11","66","0","77","1","1"
"Lower Southampton Twp West 5 Committeeman (Rep)","Write-in","Rep","0","15","0","15","1","1"
"Lower Southampton Twp West 5 Committeewoman (Rep)","Tara M. Kolaris","Rep","12","51","0","63","1","1"
"Lower Southampton Twp West 5 Committeewoman (Rep)","Write-in","Rep","0","28","0","28","1","1"
"Lower Southampton Twp West 6 Committeeman (Rep)","Write-in","Rep","4","28","0","32","1","1"
"Lower Southampton Twp West 6 Committeewoman (Rep)","Gretchen Samuels","Rep","27","86","0","113","1","1"
"Lower Southampton Twp West 6 Committeewoman (Rep)","Write-in","Rep","1","2","0","3","1","1"
"Lower Southampton Twp West 7 Committeeman (Rep)","Gregory Sylvester","Rep","20","65","2","87","1","1"
"Lower Southampton Twp West 7 Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Lower Southampton Twp West 7 Committeewoman (Rep)","Write-in","Rep","1","13","1","15","1","1"
"Middletown Twp Lower 1 Committeeman (Rep)","Joseph M. Favoroso","Rep","51","257","0","308","1","1"
"Middletown Twp Lower 1 Committeeman (Rep)","Write-in","Rep","1","2","0","3","1","1"
"Middletown Twp Lower 1 Committeewoman (Rep)","Therese M. Marshall","Rep","48","260","0","308","1","1"
"Middletown Twp Lower 1 Committeewoman (Rep)","Write-in","Rep","1","0","0","1","1","1"
"Middletown Twp Lower 2 Committeeman (Rep)","Vince Aurilio","Rep","44","208","0","252","1","1"
"Middletown Twp Lower 2 Committeeman (Rep)","Write-in","Rep","1","8","0","9","1","1"
"Middletown Twp Lower 2 Committeewoman (Rep)","Kathleen Seborowski","Rep","46","176","0","222","1","1"
"Middletown Twp Lower 2 Committeewoman (Rep)","Write-in","Rep","0","12","0","12","1","1"
"Middletown Twp Lower 3 Committeeman (Rep)","Write-in","Rep","2","4","0","6","1","1"
"Middletown Twp Lower 3 Committeewoman (Rep)","Mary Durkin","Rep","15","101","0","116","1","1"
"Middletown Twp Lower 3 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Middletown Twp Lower 4 Committeeman (Rep)","Eric Michael Nocito","Rep","4","81","0","85","1","1"
"Middletown Twp Lower 4 Committeeman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Middletown Twp Lower 4 Committeewoman (Rep)","Write-in","Rep","1","15","0","16","1","1"
"Middletown Twp Lower 5 Committeeman (Rep)","Write-in","Rep","1","16","0","17","1","1"
"Middletown Twp Lower 5 Committeewoman (Rep)","Write-in","Rep","0","11","0","11","1","1"
"Middletown Twp Lower 6 Committeeman (Rep)","George Dranginis","Rep","17","97","1","115","1","1"
"Middletown Twp Lower 6 Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Middletown Twp Lower 6 Committeewoman (Rep)","Andrea Weldon","Rep","17","95","1","113","1","1"
"Middletown Twp Lower 6 Committeewoman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Middletown Twp Lower 7 Commiteeman (Rep)","James Leedom","Rep","10","94","0","104","1","1"
"Middletown Twp Lower 7 Commiteeman (Rep)","Write-in","Rep","0","3","0","3","1","1"
"Middletown Twp Lower 7 Committeewoman (Rep)","Lisa Leedom","Rep","11","95","0","106","1","1"
"Middletown Twp Lower 7 Committeewoman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Middletown Twp Lower 8 Committeeman (Rep)","Robert Feather","Rep","11","99","0","110","1","1"
"Middletown Twp Lower 8 Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Middletown Twp Lower 8 Committeewoman (Rep)","Phyllis A. Profy","Rep","9","95","0","104","1","1"
"Middletown Twp Lower 8 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Middletown Twp Lower 9 Committeeman (Rep)","Write-in","Rep","1","13","0","14","1","1"
"Middletown Twp Lower 9 Committeewoman (Rep)","Write-in","Rep","1","10","0","11","1","1"
"Middletown Twp Lower 10 Committeeman (Rep)","Write-in","Rep","0","45","0","45","1","1"
"Middletown Twp Lower 10 Committeewoman (Rep)","Write-in","Rep","0","8","0","8","1","1"
"Middletown Twp Lower 11 Committeeman (Rep)","Write-in","Rep","0","10","0","10","1","1"
"Middletown Twp Lower 11 Committeewoman (Rep)","Marisa Krepich","Rep","5","74","0","79","1","1"
"Middletown Twp Lower 11 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Middletown Twp Lower 12 Committeeman (Rep)","Dave Sommers","Rep","10","73","0","83","1","1"
"Middletown Twp Lower 12 Committeeman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Middletown Twp Lower 12 Committeewoman (Rep)","Cynthia Aquaro","Rep","13","71","0","84","1","1"
"Middletown Twp Lower 12 Committeewoman (Rep)","Write-in","Rep","0","3","0","3","1","1"
"Middletown Twp Lower 13 Committeeman (Rep)","David Ramella","Rep","18","69","0","87","1","1"
"Middletown Twp Lower 13 Committeeman (Rep)","Andrew Vendetti","Rep","31","103","0","134","1","1"
"Middletown Twp Lower 13 Committeeman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Middletown Twp Lower 13 Committeewoman (Rep)","Georgianna Ramella","Rep","24","74","0","98","1","1"
"Middletown Twp Lower 13 Committeewoman (Rep)","Lillian Cruz","Rep","25","104","0","129","1","1"
"Middletown Twp Lower 13 Committeewoman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Middletown Twp Upper 1 Committeeman (Rep)","Robert Ziff","Rep","70","149","0","219","1","1"
"Middletown Twp Upper 1 Committeeman (Rep)","Write-in","Rep","1","1","0","2","1","1"
"Middletown Twp Upper 1 Committeewoman (Rep)","Fran Grous","Rep","34","107","0","141","1","1"
"Middletown Twp Upper 1 Committeewoman (Rep)","Susanne Landman","Rep","38","59","0","97","1","1"
"Middletown Twp Upper 1 Committeewoman (Rep)","Write-in","Rep","2","0","0","2","1","1"
"Middletown Twp Upper 2 Committeeman (Rep)","Rich Law","Rep","17","117","0","134","1","1"
"Middletown Twp Upper 2 Committeeman (Rep)","Russell J. Manning","Rep","16","71","0","87","1","1"
"Middletown Twp Upper 2 Committeeman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Middletown Twp Upper 2 Committeewoman (Rep)","Angie Manning","Rep","25","68","0","93","1","1"
"Middletown Twp Upper 2 Committeewoman (Rep)","Crys Harm","Rep","12","126","0","138","1","1"
"Middletown Twp Upper 2 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Middletown Twp Upper 3 Committeeman (Rep)","Bill Everett","Rep","84","239","0","323","1","1"
"Middletown Twp Upper 3 Committeeman (Rep)","Write-in","Rep","1","4","0","5","1","1"
"Middletown Twp Upper 3 Committeewoman (Rep)","Toni Keller","Rep","83","231","0","314","1","1"
"Middletown Twp Upper 3 Committeewoman (Rep)","Write-in","Rep","1","6","0","7","1","1"
"Middletown Twp Upper 4 Committeeman (Rep)","Write-in","Rep","7","52","0","59","1","1"
"Middletown Twp Upper 4 Committeewoman (Rep)","Kristi A. Morris","Rep","36","150","0","186","1","1"
"Middletown Twp Upper 4 Committeewoman (Rep)","Write-in","Rep","2","28","0","30","1","1"
"Middletown Twp Upper 5 Committeeman (Rep)","Mike Whalen","Rep","90","173","1","264","1","1"
"Middletown Twp Upper 5 Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Middletown Twp Upper 5 Committeewoman (Rep)","Heather Whalen","Rep","91","173","1","265","1","1"
"Middletown Twp Upper 5 Committeewoman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Middletown Twp Upper 6 Committeeman (Rep)","Andy Warren","Rep","59","170","0","229","1","1"
"Middletown Twp Upper 6 Committeeman (Rep)","Write-in","Rep","0","4","0","4","1","1"
"Middletown Twp Upper 6 Committeewoman (Rep)","Kristen Gibboni","Rep","56","158","0","214","1","1"
"Middletown Twp Upper 6 Committeewoman (Rep)","Write-in","Rep","1","10","0","11","1","1"
"Middletown Twp Upper 7 Committeeman (Rep)","Vincent DePaola, Sr.","Rep","36","130","2","168","1","1"
"Middletown Twp Upper 7 Committeeman (Rep)","Write-in","Rep","0","6","0","6","1","1"
"Middletown Twp Upper 7 Committeewoman (Rep)","Christina Chapman","Rep","35","135","2","172","1","1"
"Middletown Twp Upper 7 Committeewoman (Rep)","Write-in","Rep","0","6","0","6","1","1"
"Middletown Twp Upper 8 Committeeman (Rep)","Thomas Dempster, III","Rep","49","137","0","186","1","1"
"Middletown Twp Upper 8 Committeeman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Middletown Twp Upper 8 Committeewoman (Rep)","Gail C. Thibodeau","Rep","49","137","0","186","1","1"
"Middletown Twp Upper 8 Committeewoman (Rep)","Write-in","Rep","0","4","0","4","1","1"
"Middletown Twp Upper 9 Committeeman (Rep)","Philip Schieber","Rep","78","164","1","243","1","1"
"Middletown Twp Upper 9 Committeeman (Rep)","Write-in","Rep","1","7","0","8","1","1"
"Middletown Twp Upper 9 Committeewoman (Rep)","Elizabeth Schieber","Rep","78","165","1","244","1","1"
"Middletown Twp Upper 9 Committeewoman (Rep)","Write-in","Rep","1","8","0","9","1","1"
"Milford Twp Roeder Committeeman (Rep)","Write-in","Rep","2","42","0","44","1","1"
"Milford Twp Roeder Committeewoman (Rep)","Write-in","Rep","2","41","0","43","1","1"
"Milford Twp Roseville Committeeman (Rep)","Write-in","Rep","1","12","0","13","1","1"
"Milford Twp Roseville Committeewoman (Rep)","Write-in","Rep","1","11","0","12","1","1"
"Milford Twp Shelly Committeeman (Rep)","Write-in","Rep","6","13","0","19","1","1"
"Milford Twp Shelly Committeewoman (Rep)","Beth Ziegler","Rep","43","207","2","252","1","1"
"Milford Twp Shelly Committeewoman (Rep)","Write-in","Rep","4","5","0","9","1","1"
"Milford Twp Trumbauersville Committeeman (Rep)","Henry F. Alexander","Rep","80","327","1","408","1","1"
"Milford Twp Trumbauersville Committeeman (Rep)","Write-in","Rep","0","5","0","5","1","1"
"Milford Twp Trumbauersville Committeewoman (Rep)","Write-in","Rep","7","23","0","30","1","1"
"Morrisville Boro 1st Ward Committeeman (Rep)","Todd Sanford","Rep","8","67","0","75","1","1"
"Morrisville Boro 1st Ward Committeeman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Morrisville Boro 1st Ward Committeewoman (Rep)","Write-in","Rep","2","8","0","10","1","1"
"Morrisville Boro 2nd Ward Committeeman (Rep)","Write-in","Rep","1","2","0","3","1","1"
"Morrisville Boro 2nd Ward Committeewoman (Rep)","Write-in","Rep","1","2","0","3","1","1"
"Morrisville Boro 3rd Ward Committeeman (Rep)","Write-in","Rep","1","4","0","5","1","1"
"Morrisville Boro 3rd Ward Committeewoman (Rep)","Jane Burger","Rep","16","65","0","81","1","1"
"Morrisville Boro 3rd Ward Committeewoman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Morrisville Boro 4th Ward Committeeman (Rep)","Write-in","Rep","1","4","0","5","1","1"
"Morrisville Boro 4th Ward Committeewoman (Rep)","Write-in","Rep","1","2","0","3","1","1"
"New Britain Boro Committeeman (Rep)","Write-in","Rep","1","62","0","63","1","1"
"New Britain Boro Committeewoman (Rep)","Write-in","Rep","0","59","0","59","1","1"
"New Britain Twp East Committeeman (Rep)","Michael Stoltzfus","Rep","63","242","1","306","1","1"
"New Britain Twp East Committeeman (Rep)","Write-in","Rep","0","3","0","3","1","1"
"New Britain Twp East Committeewoman (Rep)","Write-in","Rep","8","19","0","27","1","1"
"New Britain Twp West 1 Committeeman (Rep)","Brian P. Dutill","Rep","44","164","0","208","1","1"
"New Britain Twp West 1 Committeeman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"New Britain Twp West 1 Committeewoman (Rep)","Kathleen S. Dutill","Rep","44","163","0","207","1","1"
"New Britain Twp West 1 Committeewoman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"New Britain Twp West 2 Committeeman (Rep)","Write-in","Rep","3","10","0","13","1","1"
"New Britain Twp West 2 Committeewoman (Rep)","Write-in","Rep","1","8","0","9","1","1"
"New Britain Twp South 1 Committeeman (Rep)","Steve Brennan","Rep","62","189","0","251","1","1"
"New Britain Twp South 1 Committeeman (Rep)","Write-in","Rep","1","1","0","2","1","1"
"New Britain Twp South 1 Committeewoman (Rep)","Lynd Johnson","Rep","59","180","0","239","1","1"
"New Britain Twp South 1 Committeewoman (Rep)","Write-in","Rep","2","1","0","3","1","1"
"New Britain Twp South 2 Committeeman (Rep)","James P. McCarthy","Rep","36","137","0","173","1","1"
"New Britain Twp South 2 Committeeman (Rep)","Write-in","Rep","0","10","0","10","1","1"
"New Britain Twp South 2 Committeewoman (Rep)","Nicole Percetti","Rep","38","137","0","175","1","1"
"New Britain Twp South 2 Committeewoman (Rep)","Write-in","Rep","0","10","0","10","1","1"
"New Hope Boro Committeeman (Rep)","Write-in","Rep","3","8","0","11","1","1"
"New Hope Boro Committeewoman (Rep)","Write-in","Rep","2","5","0","7","1","1"
"Newtown Boro 1st Ward Committeeman (Rep)","Write-in","Rep","1","8","0","9","1","1"
"Newtown Boro 1st Ward Committeewoman (Rep)","Write-in","Rep","1","4","0","5","1","1"
"Newtown Boro 2nd Ward Committeeman (Rep)","Evan Lambros","Rep","21","97","0","118","1","1"
"Newtown Boro 2nd Ward Committeeman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Newtown Boro 2nd Ward Committeewoman (Rep)","Renee Kilgarriff","Rep","22","94","0","116","1","1"
"Newtown Boro 2nd Ward Committeewoman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Newtown Twp Dist 1 Committeeman (Rep)","Michael J. Gallagher","Rep","31","104","0","135","1","1"
"Newtown Twp Dist 1 Committeeman (Rep)","Write-in","Rep","2","27","0","29","1","1"
"Newtown Twp Dist 1 Committeewoman (Rep)","Write-in","Rep","1","44","0","45","1","1"
"Newtown Twp Dist 2 Committeeman (Rep)","Michael Iapalucci","Rep","38","171","1","210","1","1"
"Newtown Twp Dist 2 Committeeman (Rep)","Write-in","Rep","0","3","0","3","1","1"
"Newtown Twp Dist 2 Committeewoman (Rep)","Joy Ann Kenny-Charlton","Rep","37","169","1","207","1","1"
"Newtown Twp Dist 2 Committeewoman (Rep)","Write-in","Rep","0","4","0","4","1","1"
"Newtown Twp Dist 3 Committeeman (Rep)","Devon Scaccetti","Rep","44","129","1","174","1","1"
"Newtown Twp Dist 3 Committeeman (Rep)","Write-in","Rep","0","3","0","3","1","1"
"Newtown Twp Dist 3 Committeewoman (Rep)","Peggy Driscoll","Rep","46","127","1","174","1","1"
"Newtown Twp Dist 3 Committeewoman (Rep)","Write-in","Rep","0","16","0","16","1","1"
"Newtown Twp Dist 4 Committeeman (Rep)","Joseph Pizzo","Rep","21","100","0","121","1","1"
"Newtown Twp Dist 4 Committeeman (Rep)","Write-in","Rep","1","4","0","5","1","1"
"Newtown Twp Dist 4 Committeewoman (Rep)","Bette Jo Smith","Rep","21","105","0","126","1","1"
"Newtown Twp Dist 4 Committeewoman (Rep)","Write-in","Rep","1","0","0","1","1","1"
"Newtown Twp Dist 5 Committeeman (Rep)","Marc Luciani","Rep","42","166","0","208","1","1"
"Newtown Twp Dist 5 Committeeman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Newtown Twp Dist 5 Committeewoman (Rep)","Sheila A. Roddy","Rep","40","161","0","201","1","1"
"Newtown Twp Dist 5 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Newtown Twp Dist 6 Committeeman (Rep)","Write-in","Rep","8","22","0","30","1","1"
"Newtown Twp Dist 6 Committeewoman (Rep)","Natalya Khavulya","Rep","72","193","0","265","1","1"
"Newtown Twp Dist 6 Committeewoman (Rep)","Write-in","Rep","1","5","0","6","1","1"
"Newtown Twp Dist 7 Committeeman (Rep)","Ken Rubin","Rep","86","193","1","280","1","1"
"Newtown Twp Dist 7 Committeeman (Rep)","Write-in","Rep","0","3","0","3","1","1"
"Newtown Twp Dist 7 Committeewoman (Rep)","Fran Haller","Rep","85","190","1","276","1","1"
"Newtown Twp Dist 7 Committeewoman (Rep)","Write-in","Rep","0","3","0","3","1","1"
"Newtown Twp Dist 8 Committeeman (Rep)","Write-in","Rep","7","122","0","129","1","1"
"Newtown Twp Dist 8 Committeewoman (Rep)","Write-in","Rep","5","7","0","12","1","1"
"Nockamixon Twp Nockamixon Committeeman (Rep)","Thomas Rogers","Rep","25","157","0","182","1","1"
"Nockamixon Twp Nockamixon Committeeman (Rep)","Write-in","Rep","2","29","0","31","1","1"
"Nockamixon Twp Nockamixon Committeewoman (Rep)","Ruth Ochoa","Rep","21","128","0","149","1","1"
"Nockamixon Twp Nockamixon Committeewoman (Rep)","Write-in","Rep","7","58","0","65","1","1"
"Nockamixon Twp Revere Committeeman (Rep)","Brett Taylor","Rep","29","56","0","85","1","1"
"Nockamixon Twp Revere Committeeman (Rep)","Write-in","Rep","0","113","0","113","1","1"
"Nockamixon Twp Revere Committeewoman (Rep)","Write-in","Rep","5","120","0","125","1","1"
"Northampton Twp Dist 1 Committeeman (Rep)","Warren H. Harner, Jr.","Rep","80","248","1","329","1","1"
"Northampton Twp Dist 1 Committeeman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Northampton Twp Dist 1 Committeewoman (Rep)","Nicole Bontempo","Rep","83","253","1","337","1","1"
"Northampton Twp Dist 1 Committeewoman (Rep)","Write-in","Rep","0","2","0","2","1","1"
"Northampton Twp Dist 2 Committeeman (Rep)","David Breidinger","Rep","24","201","0","225","1","1"
"Northampton Twp Dist 2 Committeeman (Rep)","Write-in","Rep","1","3","0","4","1","1"
"Northampton Twp Dist 2 Committeewoman (Rep)","Loraine Breidinger","Rep","24","200","0","224","1","1"
"Northampton Twp Dist 2 Committeewoman (Rep)","Write-in","Rep","0","4","0","4","1","1"
"Northampton Twp Dist 3 Committeeman (Rep)","Raymond Schneider","Rep","34","119","0","153","1","1"
"Northampton Twp Dist 3 Committeeman (Rep)","Write-in","Rep","0","5","0","5","1","1"
"Northampton Twp Dist 3 Committeewoman (Rep)","Orit Schneider","Rep","34","119","0","153","1","1"
"Northampton Twp Dist 3 Committeewoman (Rep)","Write-in","Rep","0","4","0","4","1","1"
"Northampton Twp Dist 4 Committeeman (Rep)","Brian Zavodnick","Rep","45","88","0","133","1","1"
"Northampton Twp Dist 4 Committeeman (Rep)","Alex Entin","Rep","24","197","1","222","1","1"
"Northampton Twp Dist 4 Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Northampton Twp Dist 4 Committeewoman (Rep)","Liz Youse","Rep","63","268","1","332","1","1"
"Northampton Twp Dist 4 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Northampton Twp Dist 5 Committeeman (Rep)","Michael Hedrick","Rep","55","246","2","303","1","1"
"Northampton Twp Dist 5 Committeeman (Rep)","Write-in","Rep","1","5","0","6","1","1"
"Northampton Twp Dist 5 Committeewoman (Rep)","Write-in","Rep","4","140","0","144","1","1"
"Northampton Twp Dist 6 Committeeman (Rep)","Edward J. Bagdon","Rep","86","231","0","317","1","1"
"Northampton Twp Dist 6 Committeeman (Rep)","Write-in","Rep","1","2","0","3","1","1"
"Northampton Twp Dist 6 Committeewoman (Rep)","Jane Bagdon","Rep","87","227","0","314","1","1"
"Northampton Twp Dist 6 Committeewoman (Rep)","Write-in","Rep","1","1","0","2","1","1"
"Northampton Twp Dist 7 Committeeman (Rep)","Peter F. Palestina","Rep","35","194","0","229","1","1"
"Northampton Twp Dist 7 Committeeman (Rep)","Write-in","Rep","1","1","0","2","1","1"
"Northampton Twp Dist 7 Committeewoman (Rep)","Mary Kononenko","Rep","31","191","0","222","1","1"
"Northampton Twp Dist 7 Committeewoman (Rep)","Write-in","Rep","1","0","0","1","1","1"
"Northampton Twp Dist 8 Committeeman (Rep)","Vincent Deon","Rep","83","151","0","234","1","1"
"Northampton Twp Dist 8 Committeeman (Rep)","Write-in","Rep","2","20","0","22","1","1"
"Northampton Twp Dist 8 Committeewoman (Rep)","Alice Martelli","Rep","81","147","0","228","1","1"
"Northampton Twp Dist 8 Committeewoman (Rep)","Write-in","Rep","1","5","0","6","1","1"
"Northampton Twp Dist 9 Committeeman (Rep)","Will Rockenbach, Jr.","Rep","18","164","0","182","1","1"
"Northampton Twp Dist 9 Committeeman (Rep)","Stephen B. McGill","Rep","58","94","0","152","1","1"
"Northampton Twp Dist 9 Committeeman (Rep)","Write-in","Rep","2","2","0","4","1","1"
"Northampton Twp Dist 9 Committeewoman (Rep)","Beth Rodman","Rep","75","235","0","310","1","1"
"Northampton Twp Dist 9 Committeewoman (Rep)","Write-in","Rep","2","4","0","6","1","1"
"Northampton Twp Dist 10 Committeeman (Rep)","Frank Harshaw","Rep","28","112","0","140","1","1"
"Northampton Twp Dist 10 Committeeman (Rep)","Write-in","Rep","1","2","0","3","1","1"
"Northampton Twp Dist 10 Committeewoman (Rep)","Anne Horner","Rep","27","114","0","141","1","1"
"Northampton Twp Dist 10 Committeewoman (Rep)","Write-in","Rep","1","1","0","2","1","1"
"Northampton Twp Dist 11 Committeeman (Rep)","James C. Dinan","Rep","58","150","0","208","1","1"
"Northampton Twp Dist 11 Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Northampton Twp Dist 11 Committeewoman (Rep)","Bernice Sikora-Chandler","Rep","58","149","0","207","1","1"
"Northampton Twp Dist 11 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Northampton Twp Dist 12 Committeeman (Rep)","Andrew Gannon","Rep","56","206","0","262","1","1"
"Northampton Twp Dist 12 Committeeman (Rep)","Write-in","Rep","2","0","0","2","1","1"
"Northampton Twp Dist 12 Committeewoman (Rep)","Cheryl Blake","Rep","56","205","0","261","1","1"
"Northampton Twp Dist 12 Committeewoman (Rep)","Write-in","Rep","2","0","0","2","1","1"
"Northampton Twp Dist 13 Committeeman (Rep)","Daniel Berrien","Rep","67","239","0","306","1","1"
"Northampton Twp Dist 13 Committeeman (Rep)","Write-in","Rep","1","5","0","6","1","1"
"Northampton Twp Dist 13 Committeewoman (Rep)","Laurie Katz Berrien","Rep","66","238","0","304","1","1"
"Northampton Twp Dist 13 Committeewoman (Rep)","Write-in","Rep","1","5","0","6","1","1"
